Date,Temperature
2021/8/6,27.4
2021/8/7,26.7
2021/8/8,26.4
2021/8/9,27.4
2021/8/10,27.6
2021/8/11,28.1
2021/8/12,27.9
2021/8/13,27
2021/8/14,26.4
2021/8/15,28.2
2021/8/16,29.4
2021/8/17,29.6
2021/8/18,29.1
2021/8/19,28.9
2021/8/20,29.3
2021/8/21,28
2021/8/22,28.8
2021/8/23,29.7
2021/8/24,29.1
2021/8/25,28.4
2021/8/26,27.3
2021/8/27,28.8
2021/8/28,29.7
2021/8/29,29.8
2021/8/30,26.8
2021/8/31,28.1
2021/9/1,28.5
2021/9/2,27.9
2021/9/3,26.7
2021/9/4,26.9
2021/9/5,27.8
2021/9/6,28.5
2021/9/7,29.3
2021/9/8,29.6
2021/9/9,29.8
2021/9/10,30.4
2021/9/11,28.3
2021/9/12,27.6
2021/9/13,27
2021/9/14,28.4
2021/9/15,28.7
2021/9/16,29.2
2021/9/17,29.2
2021/9/18,29
2021/9/19,29.2
2021/9/20,30.2
2021/9/21,28.2
2021/9/22,28.8
2021/9/23,28.4
2021/9/24,27.9
2021/9/25,28.6
2021/9/26,29.3
2021/9/27,29.7
2021/9/28,29.4
2021/9/29,29.7
2021/9/30,30
2021/10/1,29.2
2021/10/2,28.3
2021/10/3,29.1
2021/10/4,29.6
2021/10/5,29
2021/10/6,29
2021/10/7,28.2
2021/10/8,28.6
2021/10/9,29.4
2021/10/10,29.5
2021/10/11,26.9
2021/10/12,25.5
2021/10/13,25.7
2021/10/14,25.8
2021/10/15,27.8
2021/10/16,28
2021/10/17,27.1
2021/10/18,26.8
2021/10/19,26.8
2021/10/20,27.4
2021/10/21,27.4
2021/10/22,25.6
2021/10/23,26.4
2021/10/24,26.6
2021/10/25,25.9
2021/10/26,27
2021/10/27,27.1
2021/10/28,26.7
2021/10/29,25.8
2021/10/30,25.9
2021/10/31,26
2021/11/1,26.5
2021/11/2,26.4
2021/11/3,26.7
2021/11/4,26.8
2021/11/5,26.8
2021/11/6,28.3
2021/11/7,27.2
2021/11/8,26
2021/11/9,22.4
2021/11/10,22.5
2021/11/11,22.8
2021/11/12,23.8
2021/11/13,23.3
2021/11/14,22.8
2021/11/15,24.3
2021/11/16,24.7
2021/11/17,24.7
2021/11/18,24.8
2021/11/19,25.1
2021/11/20,25.6
2021/11/21,26.5
2021/11/22,24.5
2021/11/23,21.2
2021/11/24,21.9
2021/11/25,22.1
2021/11/26,23.7
2021/11/27,23.5
2021/11/28,23.5
2021/11/29,24
2021/11/30,23.8
2021/12/1,20.1
2021/12/2,19.6
2021/12/3,19.6
2021/12/4,19.5
2021/12/5,20
2021/12/6,21.2
2021/12/7,21.5
2021/12/8,21.8
2021/12/9,21.8
2021/12/10,21.6
2021/12/11,22.2
2021/12/12,22.3
2021/12/13,21.7
2021/12/14,21.5
2021/12/15,23.2
2021/12/16,23.2
2021/12/17,21.6
2021/12/18,19
2021/12/19,20.9
2021/12/20,20
2021/12/21,21.5
2021/12/22,23.4
2021/12/23,23.1
2021/12/24,23.6
2021/12/25,20.8
2021/12/26,18.5
2021/12/27,17.5
2021/12/28,19
2021/12/29,20.5
2021/12/30,20.8
2021/12/31,19.6
